,T/Period,diffMag
172,0.584056810195,-1.543
173,0.584184120129,-1.53666666667
174,0.584311439841,-1.518
175,0.58443875024,-1.50716666667
176,0.605086710024,-1.47933333333
177,0.605214019957,-1.4905
178,0.60534132989,-1.48933333333
179,0.605457070003,-1.487
180,0.605584390181,-1.48866666667
181,0.628373509924,-1.44033333333
182,0.628500819857,-1.458
183,0.628628140035,-1.46616666667
184,0.628743880148,-1.47716666667
185,0.628671109862,-1.46633333333
186,0.647945100161,-1.42083333333
187,0.648072419873,-1.433
188,0.648199730272,-1.42783333333
189,0.64831546992,-1.43433333333
190,0.648442779853,-1.42716666667
191,0.673234199825,-1.35133333333
192,0.673361520003,-1.40283333333
193,0.673477260115,-1.40033333333
194,0.673604570049,-1.3935
195,0.673731879982,-1.404
196,0.022128220271,-1.3405
197,0.0222555302043,-1.37966666667
198,0.0223828499165,-1.38666666667
199,0.022510290235,-1.387
200,0.0226376001683,-1.409
201,0.0516071800103,-1.36
202,0.0517345001881,-1.37916666667
203,0.0518618101214,-1.38566666667
204,0.0519891200547,-1.37666666667
205,0.0521164402326,-1.383
206,0.0828568899033,-1.34266666667
207,0.0829957799015,-1.35416666667
208,0.0831115200144,-1.29916666667
209,0.0832388401923,-1.34133333333
210,0.0833661501256,-1.34166666667
211,0.107706199955,-1.3765
212,0.107845089953,-1.38516666667
213,0.107960830066,-1.36866666667
214,0.108088150244,-1.3375
215,0.108215460177,-1.38733333333
216,0.129997680053,-1.409
217,0.130124989986,-1.37016666667
218,0.130252299919,-1.38216666667
219,0.130379620097,-1.41566666667
220,0.130480350084,-1.377
221,0.154106069911,-1.37433333333
222,0.154233390089,-1.41816666667
223,0.154360700022,-1.38883333333
224,0.154488009955,-1.38266666667
225,0.154603750068,-1.40283333333
226,0.0444690901567,-1.386
227,0.0446774302763,-1.3695
228,0.0448857601513,-1.34283333333
229,0.0450940900263,-1.38366666667
230,0.0454577998971,-1.38416666667
231,0.489640260189,-1.667
232,0.489848599843,-1.685
233,0.490056930184,-1.65416666667
234,0.490265260059,-1.68
235,0.490637050084,-1.665
236,0.520739379879,-1.6295
237,0.520947710219,-1.6255
238,0.521144470274,-1.61783333333
239,0.521352789905,-1.6155
240,0.521561120245,-1.62016666667
241,0.535091050043,-1.60116666667
242,0.535299379918,-1.58483333333
243,0.535507710259,-1.60166666667
244,0.535760739892,-1.59866666667
245,0.53608852027,-1.6045
246,0.550114010069,-1.57633333333
247,0.550322339944,-1.58
248,0.550530680064,-1.579
249,0.55073900016,-1.57083333333
250,0.550895310081,-1.58566666667
251,0.562868480179,-1.56016666667
252,0.563076810054,-1.562
253,0.563285139929,-1.56566666667
254,0.563481899984,-1.55466666667
255,0.563854769878,-1.5685
256,0.00702816012921,-1.4075
257,0.00723649000423,-1.39916666667
258,0.0074448301238,-1.40883333333
259,0.00765315999883,-1.401
260,0.00779782000604,-1.39216666667
261,0.018983339869,-1.39833333333
262,0.0191916702096,-1.40083333333
263,0.0194000000847,-1.37933333333
264,0.0196083299597,-1.38666666667
265,0.0197537601707,-1.38783333333
266,0.0309507702258,-1.38783333333
267,0.0311589399134,-1.38533333333
268,0.0313674299759,-1.40716666667
269,0.0315757598509,-1.39833333333
270,0.0319508500178,-1.40583333333
271,0.135586989926,-1.38416666667
272,0.135795320266,-1.39483333333
273,0.136003650141,-1.36733333333
274,0.136211980016,-1.36716666667
275,0.136598539886,-1.40266666667
276,0.154452460234,-1.37366666667
277,0.154660790109,-1.38366666667
278,0.154869119984,-1.39066666667
279,0.155065880039,-1.394
280,0.155452629899,-1.386
281,0.171176759874,-1.37216666667
282,0.171385090214,-1.3695
283,0.17159342009,-1.35933333333
284,0.171801749965,-1.35666666667
285,0.172188870025,-1.36166666667
286,0.18249604001,-1.3455
287,0.18270438013,-1.35283333333
288,0.182912710005,-1.32983333333
289,0.183121030101,-1.32416666667
290,0.18349672004,-1.33233333333
291,0.194220439879,-1.29733333333
292,0.194428770219,-1.30466666667
293,0.194637100094,-1.29633333333
294,0.194884630268,-1.31666666667
295,0.195232840137,-1.30633333333
296,0.206199430277,-1.29666666667
297,0.206407760152,-1.2805
298,0.206604520207,-1.26616666667
299,0.206925060016,-1.293
300,0.207200460018,-1.29033333333
301,0.217194710275,-1.25916666667
302,0.21740304015,-1.27
303,0.217611220082,-1.24133333333
304,0.217819549957,-1.26033333333
305,0.218016459954,-1.25316666667
306,0.265411539817,-1.42933333333
307,0.265619870157,-1.44166666667
308,0.265828200032,-1.45433333333
309,0.266112429903,-1.45
310,0.266425039967,-1.4605
311,0.311950280213,-1.9615
312,0.312158610088,-1.97483333333
